score,tier,name,category,pitch_angle,instagram,facebook,phone,website,rating,reviews,address,maps_url,place_id
75,A,The Brass,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/profile.php?id=100093799565639,+61 7 3113 3636,https://www.facebook.com/profile.php?id=100093799565639,0.0,0,116 Manson Road,https://www.google.com/maps/search/?api=1&query=The+Brass+116+Manson+Road,osm:node/389631264
75,A,Bardon Thyme,cafe,no real website (uses www.instagram.com),https://www.instagram.com/bardonthyme/?hl=en,,+61 433 022 991,https://www.instagram.com/bardonthyme/?hl=en,0.0,0,5 Morgan Terrace Bardon,https://www.google.com/maps/search/?api=1&query=Bardon+Thyme+5+Morgan+Terrace+Bardon,osm:node/2774179973
75,A,Graceville Moments Cafe,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/gracevillemoments/,+61 402 680 192,https://www.facebook.com/gracevillemoments/,0.0,0,8 Bank Road Graceville,https://www.google.com/maps/search/?api=1&query=Graceville+Moments+Cafe+8+Bank+Road+Graceville,osm:node/4034170489
75,A,Remedy Espresso Cafe,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/remedyec/,+61 7 3818 6687,https://www.facebook.com/remedyec/,0.0,0,1 Springfield Lakes Boulevard Springfield Lakes,https://www.google.com/maps/search/?api=1&query=Remedy+Espresso+Cafe+1+Springfield+Lakes+Boulevard+Springfield+Lakes,osm:node/4959695248
75,A,Story Behind The Coffee,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/storybehindthecoffee/,+61 475 209 660,https://www.facebook.com/storybehindthecoffee/,0.0,0,89 Broadwater Road Mount Gravatt East,https://www.google.com/maps/search/?api=1&query=Story+Behind+The+Coffee+89+Broadwater+Road+Mount+Gravatt+East,osm:node/6236089503
75,A,Coffee Warden,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/Coffee-Warden-Sandgate-380818316058328/,,https://www.facebook.com/Coffee-Warden-Sandgate-380818316058328/,0.0,0,74 Ward Street Sandgate,https://www.google.com/maps/search/?api=1&query=Coffee+Warden+74+Ward+Street+Sandgate,osm:node/9068696084
75,A,Paper Moon Coffee House and Functions,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/profile.php?id=61584852192002,+61 408 135 812,https://www.facebook.com/profile.php?id=61584852192002,0.0,0,,https://www.google.com/maps/search/?api=1&query=Paper+Moon+Coffee+House+and+Functions,osm:node/9123207500
75,A,"Bancroft Roasters, Bardon",cafe,no real website (uses m.facebook.com),,https://m.facebook.com/story.php?story_fbid=2013500125499490&id=487145808134937&sfnsn=mo,,https://m.facebook.com/story.php?story_fbid=2013500125499490&id=487145808134937&sfnsn=mo,0.0,0,69 Bowman Parade Bardon,https://www.google.com/maps/search/?api=1&query=Bancroft+Roasters%2C+Bardon+69+Bowman+Parade+Bardon,osm:node/9144672728
75,A,Dropout Espresso,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/Dropout-espresso-110045364260266/,+61 7 3289 5555,https://www.facebook.com/Dropout-espresso-110045364260266/,0.0,0,37 Main Street Samford Village,https://www.google.com/maps/search/?api=1&query=Dropout+Espresso+37+Main+Street+Samford+Village,osm:node/9722466737
75,A,Canter & Colt,cafe,no real website (uses www.facebook.com),,https://www.facebook.com/canterandcolt,+61 7 3289 1087,https://www.facebook.com/canterandcolt,0.0,0,42 Main Street Samford Village,https://www.google.com/maps/search/?api=1&query=Canter+%26+Colt+42+Main+Street+Samford+Village,osm:node/9722466760
